time(timestamp);cpu-usage-pid(%);cpu-usage-total(%);memory-usage-pid(Bytes);memory-usage-total(%);disk-io-utilization(B/s)
1593257536169;42.25;85.0;182476800;77.3;45809148.14
1593257538097;30.85;71.5;183308288;77.1;21646865.22
1593257540051;34.975;78.5;184406016;77.1;14509617.52
1593257541978;36.0;78.4;185004032;77.3;31948937.0
1593257543964;36.2;77.7;186155008;77.1;1787905.55
1593257545911;40.6;83.9;192970752;77.3;7817334.58
1593257547764;35.1;75.9;189095936;77.1;9760395.69
1593257549692;35.975;84.6;187138048;77.1;8795347.11
1593257551642;40.4;84.7;189386752;77.1;20163827.9
1593257553606;34.2;79.9;189583360;77.1;1362381.71
1593257555778;34.9;73.0;190427136;77.2;8939125.17
1593257557691;36.775;79.1;191684608;77.1;10298156.77
1593257559685;35.95;79.6;198590464;77.2;2075683.42
1593257561598;37.925;83.3;206397440;77.2;1776779.48
1593257563406;35.775;77.9;212824064;77.2;1275827.06
1593257565396;41.15;87.5;219725824;77.6;1698618.66
1593257567488;30.6;72.4;226521088;77.5;3466997.89
1593257569488;37.7;80.6;233377792;77.7;23878198.52
1593257571346;27.725;74.7;239235072;77.7;8690570.81
1593257573303;38.975;81.2;246714368;77.8;32823134.39
1593257575255;36.2;75.2;208109568;77.3;24536067.98
1593257577154;38.125;79.8;207376384;77.3;9431070.99
1593257579099;37.5;85.2;207593472;77.4;21536567.9
1593257581040;35.075;78.9;208048128;77.3;16098198.0
1593257582954;35.575;76.7;209375232;77.4;19508449.24
1593257584870;37.1;78.9;211460096;77.5;1800092.63
1593257586804;36.275;79.0;212688896;77.5;2838892.12
1593257588787;37.4;82.6;214577152;77.6;48702201.63
1593257590749;32.725;76.3;215863296;77.6;1238651.19
1593257592715;44.0;86.0;195227648;77.4;22671969.26
1593257594630;33.125;78.1;196890624;77.5;1367281.46
1593257596626;36.125;78.2;197152768;77.5;1912408.07
1593257598666;37.3;80.7;197664768;77.6;34548508.31
1593257600606;35.5;75.7;197877760;77.4;10361339.29
1593257602620;37.0;78.8;199077888;77.5;1693668.74
1593257604546;40.725;84.0;187793408;77.4;19620023.33
1593257606466;36.475;82.8;188076032;77.6;9285637.93
1593257608274;35.575;76.4;188739584;77.5;1545927.58
