timestamp(ms);elapse-time(ms);tx-load
136707;768;12
136801;772;14
136897;780;15
136984;784;16
136991;197;10
137074;617;15
137168;581;14
137332;989;14
137408;516;11
137494;516;12
137570;584;12
137648;579;13
137725;562;13
137804;548;12
137812;170;10
137896;491;13
137975;486;11
138190;863;12
138283;563;11
138379;580;12
138473;665;11
138584;693;13
138662;694;14
138751;671;15
138759;180;10
138844;567;14
138923;549;13
139081;900;12
139163;505;10
139249;503;11
139336;582;12
139419;580;11
139499;581;11
139572;568;11
139581;168;9
139698;540;9
139806;562;3
140075;1000;11
140435;941;12
140523;956;13
140607;1032;14
140699;1011;15
140791;992;16
140884;932;16
140893;197;10
140983;554;13
141076;558;13
141255;1187;15
141352;565;10
141446;567;11
141547;660;11
141660;682;12
141763;692;13
141863;700;14
141874;221;10
141985;639;13
142078;639;13
142231;982;13
142314;560;11
142397;541;12
142485;619;13
142569;592;13
142662;589;13
142744;595;13
142753;189;10
142840;531;13
142924;532;12
143100;874;12
143216;560;10
143317;578;12
143411;663;12
143501;667;12
143599;681;13
143686;685;15
143695;199;10
143777;568;12
143857;545;13
144038;945;13
144123;529;11
144209;528;12
144284;595;12
144363;590;12
144445;594;11
144522;589;11
144528;171;9
144617;500;11
144722;522;5
144930;897;11
145119;679;10
145230;714;10
145345;820;10
145455;843;11
145534;819;12
145610;780;12
145618;168;9
145707;593;11
146057;834;8
146239;1315;16
146315;786;10
146416;812;11
146521;908;14
146626;925;15
146799;746;15
146905;758;15
146914;296;10
147019;709;16
147104;693;16
147259;1025;14
147343;552;11
147426;528;12
147508;600;12
147587;573;13
147669;571;13
147747;572;13
147756;174;11
147839;502;12
147923;502;11
148138;884;12
148257;593;11
148367;625;11
148469;719;10
148567;733;10
148657;739;11
148744;741;12
148752;191;10
148836;587;12
148919;560;10
149314;1183;14
149407;755;12
149502;762;10
149590;843;11
149695;865;13
149833;919;15
149939;717;14
149948;264;10
150045;644;14
150149;652;16
150374;1065;13
150451;624;12
150543;612;12
150618;676;13
150692;653;12
150771;628;12
150872;624;11
150881;194;10
150968;521;11
151050;513;12
151231;863;10
151542;776;11
151680;813;11
151772;896;13
151865;902;15
151973;928;16
152055;925;18
152063;204;10
152146;612;14
152235;562;14
152403;1179;15
152494;527;10
152590;540;11
152672;614;12
152753;614;12
152836;606;11
152919;605;12
152929;181;9
153021;533;10
153141;556;6
153370;974;13
153470;640;11
153566;652;11
153658;735;12
153774;760;13
153871;736;14
153966;714;14
153975;206;10
154064;600;14
154148;588;13
154321;957;12
154412;547;10
154502;541;10
154591;622;12
154694;636;11
154822;680;12
154938;707;14
154949;260;10
155043;636;12
155141;645;13
155331;1015;13
155416;602;11
155502;568;12
155581;640;13
155665;629;13
155753;617;12
155842;601;12
155852;192;10
155941;530;12
156026;529;11
156202;876;10
156390;643;10
156494;657;9
156590;744;9
156687;752;10
156795;774;11
156882;775;12
156890;209;8
157246;863;8
157339;851;10
157511;1314;16
157590;801;12
157711;834;13
157793;908;14
157898;657;13
158027;695;15
158128;701;15
158138;245;11
158249;664;15
158348;643;16
158530;1024;13
158614;594;11
158701;579;11
158782;650;12
158866;623;12
158955;612;12
159079;633;13
159090;229;9
159191;582;13
159324;629;7
159490;966;12
159608;659;11
159711;638;12
159806;724;11
159913;727;11
160016;698;11
160110;711;12
160118;212;10
160206;607;12
160290;585;11
160671;1187;14
160763;753;12
160859;755;11
160946;834;11
161037;836;12
161147;863;14
161280;699;14
161289;257;10
161395;637;14
161494;642;15
161717;1052;13
161801;658;12
161894;620;12
161977;694;12
162059;669;11
162140;654;11
162221;613;11
162229;176;10
162314;519;11
162399;510;12
162745;1035;13
162884;749;11
163034;818;11
163133;909;14
163234;926;15
163341;948;16
163433;958;18
163441;212;10
163529;651;15
163617;591;15
163777;1040;13
163864;529;10
163947;519;11
164038;601;12
164130;605;13
164224;613;12
164305;609;12
164315;190;9
164418;560;11
164544;603;7
164731;959;13
164831;613;11
164934;634;12
165025;717;13
165107;696;13
165195;659;13
165280;644;14
165288;186;10
165382;559;14
165466;540;13
165622;899;12
165705;515;10
165806;531;11
165886;603;12
165965;589;11
166068;607;12
166171;631;13
166180;220;10
166282;582;11
166375;574;11
166569;952;13
166658;598;11
166754;591;12
166897;723;13
166976;701;12
167053;684;13
167148;675;14
167157;186;10
167246;595;14
167330;581;13
167503;939;8
167584;536;8
167691;565;8
167800;649;8
167901;661;9
168005;680;9
168509;1098;16
168519;624;10
168616;1037;15
168695;1011;14
168853;1357;19
168933;936;16
169020;518;13
169097;583;14
169180;569;12
169270;580;13
169350;580;14
169358;183;11
169442;514;14
169555;540;6
169756;908;13
169860;594;11
169959;614;11
170056;703;13
170155;718;13
170253;703;14
170331;686;15
170339;193;10
170425;573;15
170505;550;13
170663;914;12
170746;498;10
170829;504;11
170911;577;12
170991;571;12
171082;583;10
171170;588;10
171179;194;9
171296;555;9
171412;589;5
171798;1140;16
171887;810;12
171967;802;13
172048;874;14
172132;844;14
172224;819;15
172309;623;14
172317;190;10
172402;522;14
172481;520;14
172644;854;12
172728;510;8
172809;505;10
172911;599;12
173019;623;11
173128;652;11
173238;678;10
173249;235;8
173344;620;10
173446;642;11
173599;962;12
173866;746;12
173953;722;12
174043;802;13
174137;799;12
174231;791;13
174317;794;14
174326;195;9
174414;554;13
174525;577;6
174738;1142;13
174841;615;10
174940;629;11
175028;707;11
175114;705;11
175249;732;12
175339;701;13
175348;239;9
175517;682;12
175620;687;7
175810;1079;13
175901;657;11
175994;660;12
176085;743;12
176201;689;12
176326;711;13
176430;714;14
176440;247;10
176541;645;14
176642;654;12
176848;1043;12
176943;624;10
177027;603;11
177111;677;12
177322;784;12
177414;780;13
177506;745;13
177514;198;10
177609;671;12
177702;681;12
177913;1073;14
178019;611;11
178145;647;12
178268;759;14
178359;755;15
178442;745;14
178528;723;15
178536;181;10
178623;611;15
178710;571;13
178865;958;11
178947;509;8
179029;506;8
179106;575;10
179187;569;11
179452;746;12
179597;809;11
179610;428;7
179742;799;11
179855;831;13
180052;1192;14
180140;695;11
180222;630;11
180297;696;12
180460;726;14
180565;716;14
180657;710;14
180665;211;11
180769;634;14
180867;651;12
181033;989;13
181136;576;10
181276;625;12
181380;720;14
181479;715;13
181574;715;13
181663;715;14
